输出时间:,2022/9/9 19:56,
,,
测量方式:,波长扫描,
扫描模式:,发射模式,
数据模式:,荧光模式,
激发波长:,300,nm
发射起始波长:,350,nm
发射终止波长:,550,nm
扫描速度:,1000,nm/min
扫描间隔:,1,nm
等待时间:,0,s
,,
激发带宽:,10,nm
发射带宽:,10,nm
增益(PMT):,高, 900V
响应时间:,自动匹配,
自动光门:,未使用,
重复次数:,1,
重复间隔:,1,s
,,
图谱数据:,CO2-1min-30min-spiro1,
波长(nm),荧光值,
350,88.56325618,
351,88.59948166,
352,88.56250005,
353,88.31243432,
354,87.68851172,
355,86.4436575,
356,84.78657449,
357,82.97006084,
358,80.89051711,
359,79.34746676,
360,77.96619604,
361,76.61213079,
362,75.6183955,
363,75.01924871,
364,74.50523812,
365,73.9209754,
366,73.3522554,
367,73.13639375,
368,73.67315878,
369,74.80161629,
370,75.64696133,
371,76.32869748,
372,76.95309508,
373,77.44315189,
374,77.21268704,
375,76.59063246,
376,75.17460737,
377,74.23279666,
378,73.30330686,
379,72.42961252,
380,71.65569226,
381,71.6808535,
382,71.73489217,
383,72.30109229,
384,72.2467325,
385,71.96152292,
386,71.42371305,
387,70.88345637,
388,69.7283443,
389,68.49145639,
390,66.95597551,
391,65.71262795,
392,64.56693968,
393,63.75779976,
394,63.15293109,
395,62.79667856,
396,62.4551138,
397,62.44729459,
398,62.60289046,
399,63.37517778,
400,64.93858862,
401,66.65314031,
402,68.33627557,
403,70.50601709,
404,73.05388044,
405,76.37687587,
406,80.2946442,
407,84.68424065,
408,89.85189814,
409,96.69930468,
410,105.5105013,
411,116.9429663,
412,131.2902667,
413,149.7623814,
414,171.9306391,
415,199.1021138,
416,230.5778398,
417,268.6320547,
418,313.6501432,
419,366.487918,
420,426.757814,
421,496.5105811,
422,573.6834638,
423,661.6852663,
424,758.5746071,
425,863.5153096,
426,974.2070047,
427,1088.023441,
428,1200.581373,
429,1312.666589,
430,1419.388002,
431,1516.960965,
432,1601.336019,
433,1670.693658,
434,1726.522185,
435,1771.924626,
436,1804.827953,
437,1824.184952,
438,1829.617462,
439,1822.767001,
440,1808.023885,
441,1785.00536,
442,1751.9316,
443,1709.727509,
444,1660.73142,
445,1608.559435,
446,1556.001816,
447,1501.351261,
448,1443.035691,
449,1381.472482,
450,1319.33816,
451,1258.513387,
452,1199.953736,
453,1144.077463,
454,1088.141166,
455,1034.014998,
456,983.1325634,
457,935.0794032,
458,890.5300054,
459,848.1671884,
460,805.3571001,
461,764.8958293,
462,726.8313657,
463,690.9940144,
464,657.2986906,
465,625.1244785,
466,593.5602249,
467,564.8133688,
468,538.3944045,
469,513.719695,
470,490.8938689,
471,470.586813,
472,450.7879805,
473,432.4088118,
474,415.0093508,
475,397.8882281,
476,382.228072,
477,367.9386179,
478,353.6434191,
479,339.7872802,
480,326.1114896,
481,312.8496974,
482,301.1076703,
483,290.2890851,
484,280.5935125,
485,271.9135648,
486,263.2322496,
487,255.4735249,
488,247.9015158,
489,240.4365255,
490,233.5351746,
491,226.811772,
492,219.6412914,
493,212.8616058,
494,206.3123201,
495,200.9954653,
496,196.6911309,
497,193.5363398,
498,191.0065364,
499,189.054479,
500,188.4577625,
501,188.6028789,
502,188.6035502,
503,188.1639445,
504,186.6837511,
505,184.2960417,
506,181.7923621,
507,178.8961987,
508,175.8078935,
509,172.2373385,
510,168.3971297,
511,164.2959844,
512,160.3018384,
513,156.4863303,
514,152.3450526,
515,147.2671633,
516,141.8636533,
517,136.6507324,
518,132.1885081,
519,128.5961038,
520,125.2741592,
521,121.812205,
522,118.8240134,
523,116.6028069,
524,114.5441137,
525,112.8361519,
526,110.8805932,
527,108.6905021,
528,106.5506214,
529,104.7492428,
530,102.6823794,
531,100.820805,
532,99.22660248,
533,98.03796893,
534,97.18481871,
535,96.99721607,
536,96.74679117,
537,96.57976491,
538,96.63893479,
539,96.25928414,
540,95.97682036,
541,96.02876532,
542,96.48023091,
543,97.48292692,
544,98.63391444,
545,99.66097964,
546,101.0444779,
547,101.930406,
548,103.0288403,
549,104.2206704,
550,105.5480255,
